DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2020-0057-IND,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,IND,India,Southern Asia,Asia,Jammu & Kashmir state,,"Avalanche (Snow, Debris)",No,No,No,,,Kph,,,,2020,1,11,2020,1,14,11,,,,,,,,,,,82.50568385,"[{""adm1_code"":40408,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40409,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40422,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40423,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40424,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40425,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40426,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40427,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40428,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40429,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40430,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40431,""adm1_name"":""Administrative unit not available""}]",2020-02-12,2023-09-25
2020-0198-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Uttar Pradesh State,Heavy rains,,No,No,No,,,Km2,,,,2020,5,10,2020,5,13,29,,,,,,,,,10000,12120,82.50568385,"[{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",2020-05-13,2024-04-18
2020-0206-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Lakhimpur, Sontipur, Darrang, Goalpara (Assam state); Sikkim state",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,"Jia Bharali, Puthimari rivers",2020,5,24,2020,5,26,1,2,30000,,30002,,,,,,,82.50568385,"[{""adm1_code"":1507,""adm1_name"":""Sikkim""},{""adm2_code"":17578,""adm2_name"":""Darrang""},{""adm2_code"":17581,""adm2_name"":""Goalpara""},{""adm2_code"":17593,""adm2_name"":""Sonitpur""},{""adm2_code"":70091,""adm2_name"":""Lakhimpur""}]",2020-05-27,2024-04-18
2020-0211-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2020-000137,Cyclone 'Amphan',BGD,Bangladesh,Southern Asia,Asia,"Cox's Bazar; Satkhira, Jashore, Khulna, Barguna, Bagerhat, Patuakhali, Bhola, Pirojpur districts",,,No,No,No,,,Kph,,,,2020,5,20,2020,5,20,26,,2600000,,2600000,,,,,1500000,1818057,82.50568385,"[{""adm2_code"":5761,""adm2_name"":""Barguna""},{""adm2_code"":5763,""adm2_name"":""Bhola""},{""adm2_code"":5765,""adm2_name"":""Patuakhali""},{""adm2_code"":5766,""adm2_name"":""Pirojpur""},{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""},{""adm2_code"":5795,""adm2_name"":""Bagerhat""},{""adm2_code"":5797,""adm2_name"":""Jessore""},{""adm2_code"":5799,""adm2_name"":""Khulna""},{""adm2_code"":5804,""adm2_name"":""Satkhira""}]",2020-05-27,2024-04-18
2020-0211-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2020-000137,Cyclone 'Amphan',IND,India,Southern Asia,Asia,"Balasore (Baleshwar) , Bhadrak, Kendrapada and Jagatsinghpur (Odisha); East Midunapur, West Midhunapur, North24 Parganas, South24 Parganas, Nadia, Howrah, Kolkata and Hoogli (West Bengal)",,,No,No,No,,185,Kph,,,,2020,5,20,2020,5,20,90,,18000000,,18000000,,,,,13500000,16362509,82.50568385,"[{""adm2_code"":70207,""adm2_name"":""Baleshwar""},{""adm2_code"":70209,""adm2_name"":""Bhadrak""},{""adm2_code"":70214,""adm2_name"":""Jagatsinghpur""},{""adm2_code"":70218,""adm2_name"":""Kendrapara""},{""adm2_code"":17949,""adm2_name"":""Haora""},{""adm2_code"":17950,""adm2_name"":""Hugli""},{""adm2_code"":17956,""adm2_name"":""Nadia""},{""adm2_code"":70291,""adm2_name"":""East Midnapore""},{""adm2_code"":70292,""adm2_name"":""Kolkata""},{""adm2_code"":70293,""adm2_name"":""North 24 Parganas""},{""adm2_code"":70294,""adm2_name"":""South 24 Parganas""},{""adm2_code"":70296,""adm2_name"":""West Midnapore""}]",2020-05-27,2023-09-25
2020-0217-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2020-000145,Cyclone 'Nisarga',IND,India,Southern Asia,Asia,"Raigad, Pune Districts (Maharashtra State)",,,No,No,No,,120,Kph,,,,2020,6,3,2020,6,3,6,,7500,,7500,,,,,820000,993871,82.50568385,"[{""adm2_code"":17776,""adm2_name"":""Pune""},{""adm2_code"":17777,""adm2_name"":""Raigarh""}]",2020-06-05,2025-06-25
2020-0249-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Jammu region,,,No,No,No,,,Km2,,,,2020,6,1,2020,6,9,,,5000,,5000,,,,,,,82.50568385,"[{""adm1_code"":40408,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40409,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40422,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40423,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40424,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40425,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40426,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40427,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40428,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40429,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40430,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40431,""adm1_name"":""Administrative unit not available""}]",2020-06-19,2024-10-25
2020-0297-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2020-000165,,NPL,Nepal,Southern Asia,Asia,"Parbat, Lamjung, Gorkha, Kalikot, Syangaja, Gulmi, Bajhang, Darchula, Bajura, Sindhupalchok, Kaski, Dailekh, Myagdi, Jajarkot, Rukum Paschim, Dhading, Shankhuwashaba, Jhapa, Tanahun, Baglung, Saptari, Lalitpur, Nawalparasi Purba, Chitwan, Dang,Surkhet, Kailali districts",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,6,,2020,9,,448,287,117390,,117677,,,,,100000,121204,82.50568385,"[{""adm2_code"":22351,""adm2_name"":""Bagmati""},{""adm2_code"":22352,""adm2_name"":""Janakpur""},{""adm2_code"":22353,""adm2_name"":""Narayani""},{""adm2_code"":22354,""adm2_name"":""Koshi""},{""adm2_code"":22355,""adm2_name"":""Mechi""},{""adm2_code"":22356,""adm2_name"":""Sagarmatha""},{""adm2_code"":22357,""adm2_name"":""Mahakali""},{""adm2_code"":22358,""adm2_name"":""Seti""},{""adm2_code"":22359,""adm2_name"":""Karnali""},{""adm2_code"":22360,""adm2_name"":""Rapti""},{""adm2_code"":22361,""adm2_name"":""Bheri""},{""adm2_code"":22362,""adm2_name"":""Dhawalagiri""},{""adm2_code"":22363,""adm2_name"":""Gandaki""},{""adm2_code"":22364,""adm2_name"":""Lumbini""}]",2020-07-07,2023-09-25
2020-0304-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Assam, Bihar, Gujarat, Chhattisgarh, Kerala, Karnataka, Madhya Pradesh, Odisha, Uttar Pradesh, West Bengal, Arunachal Pradesh, Maharashtraa.",Monsoon rain,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,6,,2020,8,16,1922,,1300000,,1300000,,,800000,969630,7500000,9090283,82.50568385,"[{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":1491,""adm1_name"":""Gujarat""},{""adm1_code"":1494,""adm1_name"":""Karnataka""},{""adm1_code"":1495,""adm1_name"":""Kerala""},{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm1_code"":1504,""adm1_name"":""Orissa""},{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70072,""adm1_name"":""Arunachal Pradesh""},{""adm1_code"":70073,""adm1_name"":""Bihar""},{""adm1_code"":70075,""adm1_name"":""Chhattisgarh""},{""adm1_code"":70079,""adm1_name"":""Madhya Pradesh""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",2020-08-04,2023-09-25
2020-0323-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2020-000166,,BGD,Bangladesh,Southern Asia,Asia,"Jamalpur, Kurigram, Gaibandha, Tangail, Sylhet, Sirajganj, Bogura, Sunamganj, Sherpur, Netrokona, Lalmonirhat, Moulovi Bazar, Faridpur, Manikganj, Nilphamari Chapai Nawabganj, Rajbari and Kushtia",Monsoonal rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,6,15,2020,9,30,257,,5448271,,5448271,,,,,500000,606019,82.50568385,"[{""adm1_code"":580,""adm1_name"":""Sylhet""},{""adm2_code"":5779,""adm2_name"":""Faridpur""},{""adm2_code"":5782,""adm2_name"":""Jamalpur""},{""adm2_code"":5785,""adm2_name"":""Manikganj""},{""adm2_code"":5790,""adm2_name"":""Netrakona""},{""adm2_code"":5791,""adm2_name"":""Rajbari""},{""adm2_code"":5793,""adm2_name"":""Sherpur""},{""adm2_code"":5794,""adm2_name"":""Tangail""},{""adm2_code"":5800,""adm2_name"":""Kushtia""},{""adm2_code"":5805,""adm2_name"":""Bogra""},{""adm2_code"":5819,""adm2_name"":""Sirajganj""},{""adm2_code"":5807,""adm2_name"":""Gaibandha""},{""adm2_code"":5809,""adm2_name"":""Kurigram""},{""adm2_code"":5810,""adm2_name"":""Lalmonirhat""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""}]",2020-08-10,2023-09-25
